Title,Subtitle,Group,Status,Lane,StartDate,EndDate,MilestoneDate,SortOrder,Owner,RiskScore
Kickoff 01,Decision point for platform,Platform,On Track,top,,,2026-01-16,10,PMO,8
Integration Window 02,Execution window for experience,Experience,At Risk,bottom,2026-01-15,2026-02-08,2026-01-28,20,Design,15
Optimization Sprint 03,Execution window for core services,Core Services,Blocked,top,2026-01-24,2026-02-23,2026-02-10,30,Engineering,22
Approval 04,Decision point for intelligence,Intelligence,Done,bottom,,,2026-02-22,40,Backend,29
Migration Track 05,Execution window for insights,Insights,On Track,top,2026-02-11,2026-03-25,2026-03-06,50,Frontend,36
Enablement Phase 06,Execution window for program,Program,At Risk,bottom,2026-02-20,2026-03-10,2026-03-02,60,Data,43
Readiness 07,Decision point for growth,Growth,Blocked,top,,,2026-03-14,70,QA,50
Stabilization 08,Execution window for scale,Scale,On Track,bottom,2026-03-10,2026-04-09,2026-03-27,80,Operations,57
Implementation Sprint 09,Execution window for platform,Platform,At Risk,top,2026-03-19,2026-04-24,2026-04-08,90,Support,64
Review 10,Decision point for experience,Experience,Blocked,bottom,,,2026-04-20,100,Growth,10
Optimization Sprint 11,Execution window for core services,Core Services,Done,top,2026-04-06,2026-04-24,2026-04-16,110,PMO,17
Hypercare 12,Execution window for intelligence,Intelligence,On Track,bottom,2026-04-15,2026-05-09,2026-04-28,120,Design,24
Launch Gate 13,Decision point for insights,Insights,At Risk,top,,,2026-05-11,130,Engineering,31
Enablement Phase 14,Execution window for program,Program,Blocked,bottom,2026-05-03,2026-06-08,2026-05-23,140,Backend,38
Validation Cycle 15,Execution window for growth,Growth,On Track,top,2026-05-12,2026-06-23,2026-06-04,150,Frontend,45
Rollout 16,Decision point for scale,Scale,At Risk,bottom,,,2026-05-31,160,Data,52
Implementation Sprint 17,Execution window for platform,Platform,Blocked,top,2026-05-30,2026-06-23,2026-06-12,170,QA,59
Integration Window 18,Execution window for experience,Experience,Done,bottom,2026-06-08,2026-07-08,2026-06-25,180,Operations,66
Checkpoint 19,Decision point for core services,Core Services,On Track,top,,,2026-07-07,190,Support,12
Hypercare 20,Execution window for intelligence,Intelligence,At Risk,bottom,2026-06-26,2026-08-07,2026-07-19,200,Growth,19
Migration Track 21,Execution window for insights,Insights,Blocked,top,2026-07-05,2026-07-23,2026-07-15,210,PMO,26
Pilot 22,Decision point for program,Program,On Track,bottom,,,2026-07-27,220,Design,33
Validation Cycle 23,Execution window for growth,Growth,At Risk,top,2026-07-23,2026-08-22,2026-08-09,230,Engineering,40
Stabilization 24,Execution window for scale,Scale,Blocked,bottom,2026-08-01,2026-09-06,2026-08-21,240,Backend,47
Kickoff 25,Decision point for platform,Platform,Done,top,,,2026-09-02,250,Frontend,54
Integration Window 26,Execution window for experience,Experience,On Track,bottom,2026-08-19,2026-09-06,2026-08-29,260,Data,61
Optimization Sprint 27,Execution window for core services,Core Services,At Risk,top,2026-08-28,2026-09-21,2026-09-10,270,QA,68
Approval 28,Decision point for intelligence,Intelligence,Blocked,bottom,,,2026-09-23,280,Operations,14
