Category,CategoryLevel1,CategoryLevel2,Legend,LegendLevel1,LegendLevel2,Group,GroupLevel1,GroupLevel2,Start,End,StartDate,EndDate,StartHierarchy,EndHierarchy,StartLabel,EndLabel
Anatolian League 001,Medieval,Anatolian League,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Early,1180,1180,1180-01-01,1180-04-30,1180 Q1,1180 Q2,1180-01,1180-04
Atlantic Republic 002,Medieval,Atlantic Republic,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Core,1183,1184,1183-08-12,1184-01-16,1183 Q3,1184 Q1,1183-08,1184-01
Carpathian Kingdom 003,Medieval,Carpathian Kingdom,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Late,1186,1186,1186-03-23,1186-10-03,1186 Q1,1186 Q4,1186-03,1186-10
Danube Federation 004,Medieval,Danube Federation,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Early,1190,1191,1190-10-07,1191-05-26,1190 Q4,1191 Q2,1190-10,1191-05
Eurasian Khanate 005,Medieval,Eurasian Khanate,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Core,1193,1194,1193-05-18,1194-02-10,1193 Q2,1194 Q1,1193-05,1194-02
Hellenic Commonwealth 006,Medieval,Hellenic Commonwealth,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Late,1197,1198,1197-12-02,1198-10-03,1197 Q4,1198 Q4,1197-12,1198-10
Iberian Crown 007,Medieval,Iberian Crown,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Early,1200,1201,1200-07-13,1201-06-20,1200 Q3,1201 Q2,1200-07,1201-06
Levantine Sultanate 008,Medieval,Levantine Sultanate,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Core,1203,1204,1203-02-24,1204-03-09,1203 Q1,1204 Q1,1203-02,1204-03
Maghreb Union 009,Medieval,Maghreb Union,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Late,1207,1208,1207-09-08,1208-10-28,1207 Q3,1208 Q4,1207-09,1208-10
Nile Dynasty 010,Medieval,Nile Dynasty,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Early,1210,1211,1210-04-19,1211-07-16,1210 Q2,1211 Q3,1210-04,1211-07
Nordic Pact 011,Medieval,Nordic Pact,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Core,1214,1216,1214-11-03,1216-03-07,1214 Q4,1216 Q1,1214-11,1216-03
Persian Alliance 012,Medieval,Persian Alliance,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Late,1217,1218,1217-06-14,1218-11-23,1217 Q2,1218 Q4,1217-06,1218-11
Saharan Confederacy 013,Medieval,Saharan Confederacy,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Early,1220,1221,1220-01-25,1221-08-11,1220 Q1,1221 Q3,1220-01,1221-08
Silk Road Polity 014,Medieval,Silk Road Polity,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Core,1224,1226,1224-08-09,1226-04-02,1224 Q3,1226 Q2,1224-08,1226-04
Steppe Horde 015,Medieval,Steppe Horde,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Late,1227,1228,1227-03-20,1228-12-17,1227 Q1,1228 Q4,1227-03,1228-12
Andean State 016,Medieval,Andean State,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Early,1231,1233,1231-10-04,1233-08-09,1231 Q4,1233 Q3,1231-10,1233-08
Amazonian Realm 017,Medieval,Amazonian Realm,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Core,1234,1236,1234-05-15,1236-04-26,1234 Q2,1236 Q2,1234-05,1236-04
Mississippian Coalition 018,Medieval,Mississippian Coalition,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Late,1237,1240,1237-12-26,1240-01-14,1237 Q4,1240 Q1,1237-12,1240-01
Mesoamerican Alliance 019,Medieval,Mesoamerican Alliance,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Early,1241,1243,1241-07-10,1243-09-04,1241 Q3,1243 Q3,1241-07,1243-09
Caribbean Domain 020,Medieval,Caribbean Domain,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Core,1244,1246,1244-02-21,1246-05-24,1244 Q1,1246 Q2,1244-02,1246-05
Han Revival 021,Medieval,Han Revival,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Late,1248,1251,1248-09-05,1251-01-13,1248 Q3,1251 Q1,1248-09,1251-01
Yamato Shogunate 022,Medieval,Yamato Shogunate,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Early,1251,1253,1251-04-16,1253-09-29,1251 Q2,1253 Q3,1251-04,1253-09
Deccan Empire 023,Medieval,Deccan Empire,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Core,1254,1257,1254-11-27,1257-06-18,1254 Q4,1257 Q2,1254-11,1257-06
Bengal Maritime League 024,Medieval,Bengal Maritime League,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Late,1258,1261,1258-06-11,1261-02-06,1258 Q2,1261 Q1,1258-06,1261-02
Malay Sultanate 025,Medieval,Malay Sultanate,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Early,1261,1263,1261-01-22,1263-10-27,1261 Q1,1263 Q4,1261-01,1263-10
Javan Principalities 026,Medieval,Javan Principalities,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Core,1265,1268,1265-08-06,1268-06-16,1265 Q3,1268 Q2,1265-08,1268-06
Austral Dominion 027,Medieval,Austral Dominion,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Late,1268,1271,1268-03-17,1271-03-04,1268 Q1,1271 Q1,1268-03,1271-03
Pacific Archipelago Council 028,Medieval,Pacific Archipelago Council,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Early,1271,1274,1271-10-01,1274-10-24,1271 Q4,1274 Q4,1271-10,1274-10
Baltic Trade Union 029,Medieval,Baltic Trade Union,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Core,1275,1278,1275-05-12,1278-07-11,1275 Q2,1278 Q3,1275-05,1278-07
Rhine Compact 030,Medieval,Rhine Compact,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Late,1278,1282,1278-12-23,1282-03-30,1278 Q4,1282 Q1,1278-12,1282-03
Anatolian League 031,Medieval,Anatolian League,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Early,1282,1285,1282-07-07,1285-11-18,1282 Q3,1285 Q4,1282-07,1285-11
Atlantic Republic 032,Medieval,Atlantic Republic,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Core,1285,1288,1285-02-18,1288-08-08,1285 Q1,1288 Q3,1285-02,1288-08
Carpathian Kingdom 033,Medieval,Carpathian Kingdom,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Late,1288,1292,1288-09-02,1292-03-29,1288 Q3,1292 Q1,1288-09,1292-03
Danube Federation 034,Medieval,Danube Federation,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Early,1292,1295,1292-04-13,1295-12-15,1292 Q2,1295 Q4,1292-04,1295-12
Eurasian Khanate 035,Medieval,Eurasian Khanate,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Core,1295,1299,1295-11-24,1299-09-02,1295 Q4,1299 Q3,1295-11,1299-09
Hellenic Commonwealth 036,Medieval,Hellenic Commonwealth,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Late,1299,1303,1299-06-08,1303-04-24,1299 Q2,1303 Q2,1299-06,1303-04
Iberian Crown 037,Medieval,Iberian Crown,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Early,1302,1306,1302-01-19,1306-01-10,1302 Q1,1306 Q1,1302-01,1306-01
Levantine Sultanate 038,Medieval,Levantine Sultanate,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Core,1305,1309,1305-08-03,1309-08-31,1305 Q3,1309 Q3,1305-08,1309-08
Maghreb Union 039,Medieval,Maghreb Union,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Late,1309,1313,1309-03-14,1313-05-18,1309 Q1,1313 Q2,1309-03,1313-05
Nile Dynasty 040,Medieval,Nile Dynasty,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Early,1312,1317,1312-10-25,1317-02-04,1312 Q4,1317 Q1,1312-10,1317-02
Nordic Pact 041,Medieval,Nordic Pact,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Core,1316,1320,1316-05-09,1320-09-25,1316 Q2,1320 Q3,1316-05,1320-09
Persian Alliance 042,Medieval,Persian Alliance,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Late,1319,1324,1319-12-20,1324-06-13,1319 Q4,1324 Q2,1319-12,1324-06
Saharan Confederacy 043,Medieval,Saharan Confederacy,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Early,1322,1327,1322-07-04,1327-02-02,1322 Q3,1327 Q1,1322-07,1327-02
Silk Road Polity 044,Medieval,Silk Road Polity,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Core,1326,1330,1326-02-15,1330-10-23,1326 Q1,1330 Q4,1326-02,1330-10
Steppe Horde 045,Medieval,Steppe Horde,Middle East,Afro Eurasia,Near East,MEDIEVAL WORLD,Medieval,Late,1329,1334,1329-09-26,1334-07-10,1329 Q3,1334 Q3,1329-09,1334-07
Andean State 046,Medieval,Andean State,Sub Saharan Africa,Africa,Central and Southern Africa,MEDIEVAL WORLD,Medieval,Early,1333,1338,1333-04-10,1338-02-28,1333 Q2,1338 Q1,1333-04,1338-02
Amazonian Realm 047,Medieval,Amazonian Realm,Steppe,Eurasia,Inner Eurasia,MEDIEVAL WORLD,Medieval,Core,1336,1341,1336-11-21,1341-11-17,1336 Q4,1341 Q4,1336-11,1341-11
Mississippian Coalition 048,Medieval,Mississippian Coalition,Oceania,Pacific,Austral Pacific,MEDIEVAL WORLD,Medieval,Late,1339,1344,1339-06-05,1344-07-07,1339 Q2,1344 Q3,1339-06,1344-07
Mesoamerican Alliance 049,Medieval,Mesoamerican Alliance,Americas,Americas,Western Hemisphere,MEDIEVAL WORLD,Medieval,Early,1343,1348,1343-01-16,1348-03-26,1343 Q1,1348 Q1,1343-01,1348-03
Caribbean Domain 050,Medieval,Caribbean Domain,Europe,Europe,Western Eurasia,MEDIEVAL WORLD,Medieval,Core,1346,1351,1346-08-27,1351-12-12,1346 Q3,1351 Q4,1346-08,1351-12
Han Revival 051,Medieval,Han Revival,East Asia,Asia,Eastern Asia,MEDIEVAL WORLD,Medieval,Late,1350,1355,1350-03-11,1355-08-02,1350 Q1,1355 Q3,1350-03,1355-08
Yamato Shogunate 052,Medieval,Yamato Shogunate,South Asia,Asia,Indian Subcontinent,MEDIEVAL WORLD,Medieval,Early,1353,1359,1353-10-22,1359-04-21,1353 Q4,1359 Q2,1353-10,1359-04
